"","ID","CHR","MAPINFO","Strand","UCSC_RefGene_Name","UCSC_RefGene_Accession","UCSC_RefGene_Group","UCSC_CpG_Islands_Name","Relation_to_UCSC_CpG_Island","GencodeBasicV12_NAME","GencodeBasicV12_Accession","GencodeBasicV12_Group","GencodeCompV12_NAME","GencodeCompV12_Accession","GencodeCompV12_Group","DNase_Hypersensitivity_NAME","DNase_Hypersensitivity_Evidence_Count","OpenChromatin_NAME","OpenChromatin_Evidence_Count","TFBS_NAME","TFBS_Evidence_Count","Phantom4_Enhancers","Phantom5_Enhancers","custom_Name","custom_Accession","custom_Group"
"4399","cg18764372","1",3561934,"R","WDR8","NM_017818","Body","chr1:3559952-3561009","S_Shore","","","","WRAP73","ENST00000465916.1","3'UTR","",NA,"chr1:3560895-3562071",6,"",NA,"","","WDR8","NM_017818","Body"
"4400","cg19657934","12",133128014,"R","FBRSL1","NM_001142641","Body","chr12:133131896-133132157","N_Shelf","","","","","","","",NA,"chr12:133123921-133131179",6,"",NA,"","","FBRSL1","NM_001142641","Body"
"4401","cg01748573","20",57463530,"F","GNAS","NM_001077490","3'UTR","chr20:57463652-57467739","N_Shore","GNAS","ENST00000371098.2","3'UTR","GNAS","ENST00000488546.1","TSS1500","",NA,"chr20:57463251-57468333",6,"chr20:57462860-57479769",6,"","","GNAS","NM_001077490","3'UTR"
"4402","cg07312641","7",150778955,"R","FASTK","NM_033015","TSS1500","chr7:150777607-150780879","Island","FASTK","ENST00000540185.1","TSS1500","FASTK","ENST00000467237.1","TSS1500","chr7:150778165-150779315",3,"",NA,"",NA,"","","FASTK","NM_033015","TSS1500"
"4403","cg21486579","6",144280223,"F","PLAGL1","NM_001080956","5'UTR","","","PLAGL1","ENST00000451709.2","5'UTR","PLAGL1","ENST00000451709.2","5'UTR","chr6:144280080-144280295",3,"",NA,"",NA,"","","PLAGL1","NM_001080956","5'UTR"
"4404","cg20492951","11",2907061,"F","CDKN1C","NM_000076","TSS200","chr11:2907308-2907675","N_Shore","CDKN1C","ENST00000414822.3","1stExon","CDKN1C","ENST00000414822.3","1stExon","chr11:2906845-2907395",3,"",NA,"",NA,"high-CpG:2863573-2863664","","CDKN1C","NM_000076","TSS200"
"4405","cg20786767","11",396114,"R","PKP3","NM_007183","Body","chr11:396685-397462","N_Shore","PKP3","ENST00000530695.1","TSS200","PKP3","ENST00000533249.1","5'UTR","chr11:395825-396935",3,"",NA,"",NA,"","","PKP3","NM_007183","Body"
"4406","cg17858328","1",92952521,"R","GFI1","NM_001127216","TSS1500","chr1:92945907-92952609","Island","GFI1","ENST00000427103.1","TSS1500","GFI1","ENST00000427103.1","TSS1500","chr1:92949025-92952755",3,"",NA,"",NA,"","","GFI1","NM_001127216","TSS1500"
"4407","cg24003749","1",3275052,"R","PRDM16","NM_022114","Body","chr1:3275029-3275284","Island","PRDM16","ENST00000512462.1","5'UTR","PRDM16","ENST00000512462.1","5'UTR","",NA,"chr1:3271090-3275629",6,"",NA,"","","PRDM16","NM_022114","Body"
"4408","cg27661264","20",57427738,"F","GNAS","NM_080425","TSS1500","chr20:57427691-57427995","Island","GNAS","ENST00000371099.2","TSS1500","GNAS","ENST00000371099.2","TSS1500","chr20:57427485-57428235",3,"",NA,"",NA,"","","GNAS","NM_080425","TSS1500"
"4409","cg04064550","11",110036097,"R","ZC3H12C","NM_033390","Body","","","","","","","","","",NA,"",NA,"chr11:110034390-110036697",3,"","","ZC3H12C","NM_033390","Body"
"4410","cg20921686","11",2604499,"R","KCNQ1","NM_000218","Body","chr11:2603220-2603469","S_Shore","","","","","","","",NA,"chr11:2603867-2605163",6,"",NA,"","","KCNQ1","NM_000218","Body"
"4411","cg00569953","11",66036020,"R","RAB1B","NM_030981","TSS200","chr11:66035828-66036808","Island","RP11-867G23.2","ENST00000533287.1","TSS1500","RP11-867G23.2","ENST00000533287.1","TSS1500","chr11:66035820-66036135",3,"",NA,"",NA,"","","RAB1B","NM_030981","TSS200"
"4412","cg20881128","1",1850929,"F","TMEM52","NM_178545","TSS200","chr1:1850098-1851391","Island","TMEM52","ENST00000378602.3","TSS1500","TMEM52","ENST00000378602.3","TSS1500","chr1:1850325-1851215",3,"",NA,"",NA,"","","TMEM52","NM_178545","TSS200"
"4413","cg05919744","11",2924158,"F","SLC22A18AS","NM_007105","5'UTR","chr11:2923301-2923817","S_Shore","SLC22A18AS","ENST00000533594.1","5'UTR","SLC22A18AS","ENST00000533594.1","5'UTR","chr11:2923665-2924375",3,"",NA,"",NA,"","","SLC22A18AS","NM_007105","5'UTR"
"4414","cg15282221","11",2937819,"R","SLC22A18","NM_183233","Body","","","SLC22A18","ENST00000441077.1","TSS200","SLC22A18","ENST00000449603.1","TSS1500","chr11:2937665-2938335",3,"",NA,"",NA,"","","SLC22A18","NM_183233","Body"
"4415","cg23470137","11",3014011,"F","NAP1L4","NM_005969","TSS1500","chr11:3012799-3014181","Island","NAP1L4","ENST00000399624.3","TSS1500","NAP1L4","ENST00000430811.1","TSS1500","chr11:3013845-3014515",3,"",NA,"",NA,"","","NAP1L4","NM_005969","TSS1500"
"4416","cg21276413","15",27112287,"R","GABRA5","NM_001165037","1stExon","chr15:27112030-27113479","Island","GABRA5","ENST00000335625.5","5'UTR","GABRA5","ENST00000555060.1","TSS1500","chr15:27112060-27112295",3,"",NA,"",NA,"high-CpG:24663301-24663548","","GABRA5","NM_001165037","1stExon"
"4417","cg04232541","6",144384895,"R","PLAGL1","NM_001080951","5'UTR","chr6:144384894-144385888","Island","PLAGL1","ENST00000437412.1","5'UTR","PLAGL1","ENST00000437412.1","5'UTR","chr6:144384785-144385415",3,"",NA,"",NA,"","chr6:144384858-144384858","PLAGL1","NM_001080951","5'UTR"
"4418","cg06163629","20",57414884,"R","GNASAS","NR_002785","Body","chr20:57414595-57414896","Island","GNAS","ENST00000313949.7","5'UTR","GNAS","ENST00000453292.1","TSS1500","chr20:57414560-57415175",3,"",NA,"",NA,"","","GNASAS","NR_002785","Body"
"4419","cg17389050","1",228452148,"R","OBSCN","NM_052843","Body","","","OBSCN","ENST00000366709.4","5'UTR","OBSCN","ENST00000366709.4","5'UTR","chr1:228451965-228452295",3,"",NA,"",NA,"","","OBSCN","NM_052843","Body"
"4420","cg27336392","19",31804126,"F","TSHZ3","NM_020856","Body","","","","","","TSHZ3","ENST00000558569.1","3'UTR","chr19:31803945-31804955",3,"",NA,"",NA,"","","TSHZ3","NM_020856","Body"
"4421","cg14582546","20",61427684,"R","C20orf20","NM_018270","TSS200","chr20:61427668-61428098","Island","C20orf20","ENST00000370487.3","TSS200","C20orf20","ENST00000370487.3","TSS200","chr20:61427520-61427875",3,"",NA,"",NA,"","","C20orf20","NM_018270","TSS200"
"4422","cg04560456","6",105405068,"R","LIN28B","NM_001004317","1stExon","chr6:105400877-105401149","S_Shelf","LIN28B","ENST00000345080.4","5'UTR","LIN28B","ENST00000345080.4","5'UTR","chr6:105404800-105405115",3,"",NA,"",NA,"","","LIN28B","NM_001004317","1stExon"
"4423","cg03155428","1",3277493,"R","PRDM16","NM_199454","Body","chr1:3275029-3275284","S_Shelf","PRDM16","ENST00000512462.1","5'UTR","PRDM16","ENST00000512462.1","5'UTR","",NA,"chr1:3275882-3283395",6,"",NA,"","","PRDM16","NM_199454","Body"
"4424","cg19240938","11",2942036,"F","SLC22A18","NM_183233","Body","chr11:2942794-2943066","N_Shore","SLC22A18","ENST00000441077.1","5'UTR","SLC22A18","ENST00000467719.1","5'UTR","",NA,"chr11:2940156-2942240",6,"",NA,"","","SLC22A18","NM_183233","Body"
"4425","cg17442295","19",10290393,"R","DNMT1","NM_001130823","Body","","","DNMT1","ENST00000541266.1","TSS1500","DNMT1","ENST00000541266.1","TSS1500","",NA,"",NA,"",NA,"","","DNMT1","NM_001130823","Body"
"4426","cg04704531","12",54409491,"R","HOXC4","NM_014620","TSS1500","chr12:54408426-54408713","S_Shore","HOXC4","ENST00000303406.4","TSS1500","HOXC4","ENST00000303406.4","TSS1500","",NA,"chr12:54408783-54413712",6,"chr12:54407818-54416033",6,"","","HOXC4","NM_014620","TSS1500"
"4427","cg17516419","3",147137163,"R","","","","chr3:147136903-147137328","Island","","","","ZIC1","ENST00000472523.1","5'UTR","chr3:147136905-147137235",3,"",NA,"",NA,"","chr3:147137005-147137005","ZIC1","ENST00000472523.1","5'UTR"
"4428","cg18279839","1",3566744,"F","WDR8","NM_017818","TSS200","chr1:3566445-3569636","Island","WRAP73","ENST00000378322.3","TSS200","WRAP73","ENST00000424367.1","TSS200","chr1:3566540-3566810",3,"",NA,"",NA,"","","WDR8","NM_017818","TSS200"
"4429","cg13083943","11",3150633,"F","OSBPL5","NM_145638","5'UTR","","","OSBPL5","ENST00000389989.3","5'UTR","OSBPL5","ENST00000526122.1","TSS200","",NA,"",NA,"",NA,"","","OSBPL5","NM_145638","5'UTR"
"4430","cg04092393","11",3186929,"F","OSBPL5","NM_001144063","TSS1500","chr11:3186131-3186768","S_Shore","OSBPL5","ENST00000389989.3","TSS1500","OSBPL5","ENST00000533721.1","TSS1500","",NA,"chr11:3183103-3188791",6,"chr11:3185173-3187975",6,"","","OSBPL5","NM_001144063","TSS1500"
"4431","cg04461782","7",93204168,"R","CALCR","NM_001742","TSS200","chr7:93204085-93204381","Island","CALCR","ENST00000421592.1","TSS1500","CALCR","ENST00000421592.1","TSS1500","chr7:93203545-93204575",3,"",NA,"",NA,"","","CALCR","NM_001742","TSS200"
"4432","cg27423760","16",51186463,"F","SALL1","NM_002968","TSS1500","chr16:51183699-51188763","Island","SALL1","ENST00000541611.1","TSS1500","SALL1","ENST00000541611.1","TSS1500","chr16:51183725-51186475",3,"",NA,"",NA,"","","SALL1","NM_002968","TSS1500"
"4433","cg08291000","7",94285960,"F","SGCE","NM_001099401","TSS1500","chr7:94284858-94286527","Island","SGCE","ENST00000428696.2","TSS1500","SGCE","ENST00000428696.2","TSS1500","",NA,"",NA,"chr7:94284008-94288709",6,"","","SGCE","NM_001099401","TSS1500"
"4434","cg16057408","14",101196998,"F","DLK1","NM_003836","Body","chr14:101200617-101200929","N_Shelf","","","","","","","chr14:101196965-101197675",3,"",NA,"",NA,"","","DLK1","NM_003836","Body"
"4435","cg23721598","15",79501052,"F","MIR184","NR_029705","TSS1500","","","MIR184","ENST00000384962.1","TSS1500","MIR184","ENST00000384962.1","TSS1500","",NA,"",NA,"chr15:79500325-79501213",6,"","","MIR184","NR_029705","TSS1500"
"4436","cg24937706","13",48877719,"F","RB1","NM_000321","TSS200","chr13:48877459-48878501","Island","LINC00441","ENST00000433480.2","1stExon","LINC00441","ENST00000436963.1","3'UTR","chr13:48877180-48878035",3,"",NA,"",NA,"","","RB1","NM_000321","TSS200"
"4437","cg02591634","6",32363268,"F","BTNL2","NM_019602","Body","","","","","","BTNL2","ENST00000454136.2","3'UTR","",NA,"",NA,"",NA,"","","BTNL2","NM_019602","Body"
"4438","cg04594613","5",19838947,"F","CDH18","NM_004934","Body","","","","","","CDH18","ENST00000515257.1","TSS200","",NA,"",NA,"",NA,"","","CDH18","NM_004934","Body"
"4439","cg26385897","8",63662874,"F","NKAIN3","NM_173688","Body","","","NKAIN3","ENST00000519049.1","5'UTR","NKAIN3","ENST00000519049.1","5'UTR","",NA,"",NA,"",NA,"","","NKAIN3","NM_173688","Body"
"4440","cg15503076","14",101298868,"F","MEG3","NR_003531","Body","","","MEG3","ENST00000452120.2","5'UTR","MEG3","ENST00000452120.2","5'UTR","chr14:101298820-101299050",3,"",NA,"",NA,"","","MEG3","NR_003531","Body"
"4441","cg07342901","11",2018724,"F","H19","NR_002196","Body","chr11:2019565-2019863","N_Shore","H19","ENST00000412788.1","3'UTR","H19","ENST00000412788.1","3'UTR","chr11:2018585-2018950",3,"",NA,"",NA,"","","H19","NR_002196","Body"
"4442","cg21298703","12",91573749,"R","DCN","NM_001920","5'UTR","","","DCN","ENST00000546745.1","5'UTR","DCN","ENST00000547937.1","5'UTR","",NA,"",NA,"",NA,"","","DCN","NM_001920","5'UTR"
"4443","cg17001566","1",2990490,"F","PRDM16","NM_022114","Body","chr1:2990030-2990718","Island","","","","","","","",NA,"chr1:2976517-2991800",6,"",NA,"","","PRDM16","NM_022114","Body"
"4444","cg16324958","11",2828568,"R","KCNQ1","NM_000218","Body","chr11:2828445-2828884","Island","KCNQ1","ENST00000526095.1","5'UTR","KCNQ1","ENST00000526095.1","5'UTR","chr11:2828285-2829235",3,"",NA,"",NA,"","","KCNQ1","NM_000218","Body"
"4445","cg07592519","11",2735101,"R","KCNQ1","NM_000218","Body","","","","","","","","","chr11:2734920-2735315",3,"",NA,"",NA,"","","KCNQ1","NM_000218","Body"
"4446","cg12321149","20",57427426,"R","GNAS","NM_080425","TSS1500","chr20:57427691-57427995","N_Shore","GNAS-AS1","ENST00000424094.1","TSS1500","GNAS-AS1","ENST00000424094.1","TSS1500","",NA,"chr20:57422017-57431471",6,"chr20:57424048-57428320",6,"","","GNAS","NM_080425","TSS1500"
"4447","cg11935287","9",4138322,"R","GLIS3","NM_152629","5'UTR","","","GLIS3","ENST00000324333.10","5'UTR","GLIS3","ENST00000473846.1","3'UTR","chr9:4138320-4138510",3,"",NA,"",NA,"","","GLIS3","NM_152629","5'UTR"
"4448","cg15305578","11",131239431,"F","NTM","NM_001048209","TSS1500","","","NTM","ENST00000374791.3","TSS1500","NTM","ENST00000374791.3","TSS1500","",NA,"",NA,"",NA,"","","NTM","NM_001048209","TSS1500"
"4449","cg15798385","7",27281569,"F","EVX1","NM_001989","TSS1500","chr7:27282086-27283136","N_Shore","EVX1","ENST00000496902.3","TSS1500","EVX1","ENST00000496902.3","TSS1500","chr7:27281105-27281695",3,"",NA,"",NA,"","","EVX1","NM_001989","TSS1500"
"4450","cg24097436","7",150756491,"R","SLC4A2","NM_003040","TSS200","chr7:150756391-150756659","Island","SLC4A2","ENST00000466368.1","5'UTR","SLC4A2","ENST00000483786.1","5'UTR","chr7:150756360-150756510",3,"",NA,"",NA,"","","SLC4A2","NM_003040","TSS200"
"4451","cg24997585","15",26791210,"F","GABRB3","NM_000814","3'UTR","","","GABRB3","ENST00000311550.5","3'UTR","GABRB3","ENST00000311550.5","3'UTR","",NA,"",NA,"",NA,"","","GABRB3","NM_000814","3'UTR"
"4452","cg27026713","13",48895318,"F","RB1","NM_000321","Body","chr13:48892635-48893857","S_Shore","","","","RB1","ENST00000525036.1","5'UTR","chr13:48895000-48895350",3,"",NA,"",NA,"","","RB1","NM_000321","Body"
"4453","cg09978546","15",25981255,"F","ATP10A","NM_024490","Body","chr15:25981176-25981392","Island","","","","","","","chr15:25980905-25981275",3,"",NA,"",NA,"","","ATP10A","NM_024490","Body"
"4454","cg06033659","20",61447661,"R","COL9A3","NM_001853","TSS1500","chr20:61447685-61448891","N_Shore","COL9A3","ENST00000343916.3","TSS1500","COL9A3","ENST00000343916.3","TSS1500","chr20:61447380-61448255",3,"",NA,"",NA,"","","COL9A3","NM_001853","TSS1500"
"4455","cg16632945","1",1851158,"F","TMEM52","NM_178545","TSS1500","chr1:1850098-1851391","Island","TMEM52","ENST00000378602.3","TSS1500","TMEM52","ENST00000378602.3","TSS1500","chr1:1850325-1851215",3,"",NA,"",NA,"","","TMEM52","NM_178545","TSS1500"
"4456","cg04722759","22",18893285,"F","DGCR6","NM_005675","TSS1500","chr22:18893251-18894291","Island","DGCR6","ENST00000331444.6","TSS1500","DGCR6","ENST00000413981.1","TSS1500","chr22:18893165-18893375",3,"",NA,"",NA,"","","DGCR6","NM_005675","TSS1500"
"4457","cg24478695","6",32363167,"F","BTNL2","NM_019602","Body","","","","","","BTNL2","ENST00000454136.2","3'UTR","",NA,"",NA,"",NA,"","","BTNL2","NM_019602","Body"
"4458","cg27325152","21",38073307,"R","SIM2","NM_009586","Body","chr21:38068193-38073891","Island","AP000697.6","ENST00000430607.1","3'UTR","AP000697.6","ENST00000430607.1","3'UTR","chr21:38073245-38074255",3,"",NA,"",NA,"","chr21:38072912-38072912","SIM2","NM_009586","Body"
"4459","cg15823330","1",3207539,"R","PRDM16","NM_022114","Body","chr1:3203765-3204453","S_Shelf","PRDM16","ENST00000512462.1","5'UTR","PRDM16","ENST00000512462.1","5'UTR","chr1:3207525-3207755",3,"",NA,"",NA,"","","PRDM16","NM_022114","Body"
"4460","cg17573933","17",46623780,"F","HOXB2","NM_002145","TSS1500","chr17:46620367-46621373","S_Shelf","HOXB-AS1","ENST00000435312.1","5'UTR","HOXB-AS1","ENST00000435312.1","5'UTR","chr17:46623680-46624335",3,"",NA,"",NA,"","","HOXB2","NM_002145","TSS1500"
"4461","cg27032146","7",96652115,"R","DLX5","NM_005221","Body","chr7:96651963-96652246","Island","DLX5","ENST00000493764.1","3'UTR","DLX5","ENST00000493764.1","3'UTR","chr7:96651220-96652595",3,"",NA,"",NA,"","","DLX5","NM_005221","Body"
"4462","cg11881574","12",133151060,"R","FBRSL1","NM_001142641","Body","chr12:133146517-133148261","S_Shelf","","","","FBRSL1","ENST00000542306.1","5'UTR","",NA,"chr12:133141516-133151839",6,"",NA,"","","FBRSL1","NM_001142641","Body"
"4463","cg23822045","7",130353761,"F","COPG2","NM_012133","TSS200","chr7:130353070-130353979","Island","TSGA13","ENST00000456951.1","3'UTR","TSGA13","ENST00000456951.1","3'UTR","",NA,"chr7:130352451-130354308",6,"chr7:130352398-130354532",6,"","","COPG2","NM_012133","TSS200"
"4464","cg03914913","7",130419754,"R","KLF14","NM_138693","TSS1500","chr7:130417912-130419378","S_Shore","KLF14","ENST00000310992.4","TSS1500","KLF14","ENST00000310992.4","TSS1500","chr7:130417705-130419970",3,"",NA,"",NA,"","","KLF14","NM_138693","TSS1500"
"4465","cg21499685","4",1362252,"F","KIAA1530","NM_020894","Body","chr4:1364146-1364349","N_Shore","KIAA1530","ENST00000296312.5","5'UTR","KIAA1530","ENST00000296312.5","5'UTR","chr4:1362005-1362455",3,"",NA,"",NA,"","","KIAA1530","NM_020894","Body"
"4466","cg21012455","1",3567109,"F","WDR8","NM_017818","TSS1500","chr1:3566445-3569636","Island","WRAP73","ENST00000378322.3","TSS1500","WRAP73","ENST00000424367.1","TSS1500","",NA,"chr1:3565302-3570331",6,"chr1:3565551-3570417",6,"","","WDR8","NM_017818","TSS1500"
"4467","cg14719076","7",96653747,"R","DLX5","NM_005221","1stExon","chr7:96653467-96654199","Island","DLX5","ENST00000493764.1","3'UTR","DLX5","ENST00000493764.1","3'UTR","chr7:96652705-96654315",3,"",NA,"",NA,"","","DLX5","NM_005221","1stExon"
"4468","cg17805836","15",25953284,"R","ATP10A","NM_024490","Body","","","","","","ATP10A","ENST00000555815.1","3'UTR","chr15:25953020-25953435",3,"",NA,"",NA,"","","ATP10A","NM_024490","Body"
"4469","cg17800708","7",27148204,"R","HOXA3","NM_153632","Body","chr7:27147589-27148389","Island","HOXA-AS2","ENST00000518088.1","5'UTR","HOXA-AS2","ENST00000518088.1","5'UTR","chr7:27148200-27149375",3,"",NA,"",NA,"","","HOXA3","NM_153632","Body"
"4470","cg18409730","18",35147276,"R","BRUNOL4","NM_001025089","TSS1500","chr18:35144907-35147628","Island","CELF4","ENST00000361795.3","TSS1500","CELF4","ENST00000412753.1","TSS1500","chr18:35146885-35147850",3,"",NA,"",NA,"","","BRUNOL4","NM_001025089","TSS1500"
"4471","cg08083167","15",27459402,"F","GABRG3","NM_001270873","Body","","","","","","","","","",NA,"",NA,"",NA,"","chr15:27459277-27459277","GABRG3","NM_001270873","Body"
"4472","cg02826685","4",1009808,"R","FGFRL1","NM_001004358","Body","chr4:1005930-1006282","S_Shelf","FGFRL1","ENST00000542622.1","5'UTR","FGFRL1","ENST00000542622.1","5'UTR","",NA,"chr4:1008118-1014550",6,"chr4:1002846-1010700",6,"","","FGFRL1","NM_001004358","Body"
"4473","cg09437522","20",57431202,"R","GNAS","NM_001077490","3'UTR","chr20:57429024-57431239","Island","GNAS","ENST00000371099.2","3'UTR","GNAS","ENST00000371099.2","3'UTR","chr20:57431125-57431535",3,"",NA,"",NA,"","","GNAS","NM_001077490","3'UTR"
"4474","cg17071192","20",57413698,"R","GNASAS","NR_002785","Body","chr20:57414595-57414896","N_Shore","GNAS","ENST00000313949.7","TSS1500","GNAS","ENST00000313949.7","TSS1500","",NA,"chr20:57412052-57413733",6,"",NA,"","","GNASAS","NR_002785","Body"
"4475","cg15080351","6",3851517,"F","FAM50B","NM_012135","3'UTR","chr6:3849271-3851048","S_Shore","FAM50B","ENST00000380274.1","3'UTR","FAM50B","ENST00000380274.1","3'UTR","chr6:3851405-3851555",3,"",NA,"",NA,"","","FAM50B","NM_012135","3'UTR"
"4476","cg21913159","12",57588171,"F","LRP1","NM_002332","Body","","","MIR1228","ENST00000408438.1","TSS200","MIR1228","ENST00000408438.1","TSS200","",NA,"chr12:57576572-57600697",6,"",NA,"","","LRP1","NM_002332","Body"
"4477","cg13948934","2",241072063,"R","MYEOV2","NM_138336","Body","chr2:241075403-241075916","N_Shelf","MYEOV2","ENST00000489698.1","3'UTR","MYEOV2","ENST00000491765.1","3'UTR","",NA,"",NA,"chr2:241065296-241076697",6,"","","MYEOV2","NM_138336","Body"
"4478","cg03325095","1",214603549,"F","PTPN14","NM_005401","Body","","","","","","","","","chr1:214603220-214603675",3,"",NA,"",NA,"","","PTPN14","NM_005401","Body"
"4479","cg13612693","11",2602171,"R","KCNQ1","NM_000218","Body","chr11:2603220-2603469","N_Shore","","","","","","","",NA,"chr11:2601760-2602787",5,"",NA,"","","KCNQ1","NM_000218","Body"
"4480","cg23249369","20",57426759,"R","GNAS","NM_080425","TSS1500","chr20:57426729-57427047","Island","GNAS-AS1","ENST00000424094.1","TSS1500","GNAS-AS1","ENST00000424094.1","TSS1500","chr20:57426225-57427395",3,"",NA,"",NA,"","","GNAS","NM_080425","TSS1500"
"4481","cg01882880","17",46623819,"R","HOXB2","NM_002145","TSS1500","chr17:46627787-46628444","N_Shelf","HOXB-AS1","ENST00000435312.1","5'UTR","HOXB-AS1","ENST00000435312.1","5'UTR","chr17:46623680-46624335",3,"",NA,"",NA,"","","HOXB2","NM_002145","TSS1500"
"4482","cg21520933","7",130419340,"R","KLF14","NM_138693","TSS1500","chr7:130417912-130419378","Island","KLF14","ENST00000310992.4","TSS1500","KLF14","ENST00000310992.4","TSS1500","chr7:130417705-130419970",3,"",NA,"",NA,"","","KLF14","NM_138693","TSS1500"
"4483","cg16616455","15",26860700,"R","GABRB3","NM_001191320","Body","","","","","","GABRB3","ENST00000555811.1","1stExon","chr15:26860665-26860830",3,"",NA,"",NA,"","","GABRB3","NM_001191320","Body"
"4484","cg02793099","19",57350004,"F","PEG3","NM_001146184","5'UTR","chr19:57349997-57350470","Island","PEG3","ENST00000560429.1","5'UTR","PEG3","ENST00000560264.1","3'UTR","",NA,"chr19:57348413-57352391",6,"chr19:57348358-57353118",6,"","","PEG3","NM_001146184","5'UTR"
"4485","cg10803034","11",3178188,"R","OSBPL5","NM_020896","5'UTR","chr11:3181574-3182120","N_Shelf","OSBPL5","ENST00000389989.3","5'UTR","OSBPL5","ENST00000534157.1","5'UTR","chr11:3178185-3178455",3,"",NA,"",NA,"","","OSBPL5","NM_020896","5'UTR"
"4486","cg16945249","7",50807054,"R","GRB10","NM_001001555","5'UTR","","","GRB10","ENST00000407526.1","5'UTR","GRB10","ENST00000407526.1","5'UTR","",NA,"",NA,"chr7:50806585-50808065",6,"","","GRB10","NM_001001555","5'UTR"
"4487","cg06114485","6",57498274,"F","PRIM2","NM_000947","Body","","","PRIM2","ENST00000389488.2","5'UTR","PRIM2","ENST00000389488.2","5'UTR","chr6:57498120-57498450",3,"",NA,"",NA,"","","PRIM2","NM_000947","Body"
"4488","cg27324823","11",132116103,"R","NTM","NM_001144059","Body","","","NTM","ENST00000474900.1","5'UTR","NTM","ENST00000498764.1","5'UTR","",NA,"",NA,"",NA,"","","NTM","NM_001144059","Body"
"4489","cg17105041","8",1585260,"F","DLGAP2","NM_004745","Body","","","","","","","","","chr8:1585005-1585335",3,"",NA,"",NA,"","","DLGAP2","NM_004745","Body"
"4490","cg15894722","12",54447596,"R","HOXC4","NM_014620","5'UTR","chr12:54447744-54448091","N_Shore","HOXC4","ENST00000430889.2","TSS200","HOXC4","ENST00000430889.2","TSS200","chr12:54447460-54447695",3,"",NA,"",NA,"","","HOXC4","NM_014620","5'UTR"
"4491","cg02169391","7",130126176,"R","MEST","NM_177524","1stExon","chr7:130126017-130126801","Island","MEST","ENST00000378576.4","TSS200","MEST","ENST00000399874.2","TSS1500","chr7:130125920-130127455",3,"",NA,"",NA,"","","MEST","NM_177524","1stExon"
"4492","cg12420459","19",55174171,"F","LILRB4","NM_001278429","TSS200","","","LILRB4","ENST00000430952.2","TSS1500","LILRB4","ENST00000430952.2","TSS1500","",NA,"chr19:55173391-55174665",6,"chr19:55172913-55174657",6,"","","LILRB4","NM_001278429","TSS200"
"4493","cg26411299","11",2598653,"R","KCNQ1","NM_000218","Body","chr11:2596378-2596607","S_Shelf","","","","","","","",NA,"chr11:2597282-2599427",6,"",NA,"","","KCNQ1","NM_000218","Body"
"4494","cg11964982","10",103871039,"R","LDB1","NM_003893","Body","","","LDB1","ENST00000361198.5","ExonBnd","LDB1","ENST00000461873.1","TSS200","",NA,"",NA,"",NA,"","","LDB1","NM_003893","Body"
"4495","cg07224147","7",130130753,"R","MESTIT1","NR_004382","Body","chr7:130130739-130133111","Island","MEST","ENST00000341441.4","5'UTR","MEST","ENST00000341441.4","5'UTR","chr7:130130745-130131070",3,"",NA,"",NA,"","","MESTIT1","NR_004382","Body"
"4496","cg10438527","1",3295188,"F","PRDM16","NM_022114","Body","","","PRDM16","ENST00000512462.1","5'UTR","PRDM16","ENST00000512462.1","5'UTR","chr1:3295105-3295635",3,"",NA,"",NA,"","","PRDM16","NM_022114","Body"
"4497","cg22844229","12",58013475,"R","SLC26A10","NM_133489","TSS1500","chr12:58013171-58013652","Island","SLC26A10","ENST00000320442.4","TSS1500","SLC26A10","ENST00000320442.4","TSS1500","chr12:58013145-58014035",3,"",NA,"",NA,"","","SLC26A10","NM_133489","TSS1500"
"4498","cg14022622","11",3013815,"F","NAP1L4","NM_005969","TSS1500","chr11:3012799-3014181","Island","NAP1L4","ENST00000399624.3","TSS1500","NAP1L4","ENST00000430811.1","TSS1500","",NA,"chr11:3011883-3014548",6,"chr11:3011383-3014836",6,"","","NAP1L4","NM_005969","TSS1500"
"4499","cg10459054","20",57413436,"R","GNASAS","NR_002785","Body","chr20:57414595-57414896","N_Shore","GNAS","ENST00000313949.7","TSS1500","GNAS","ENST00000313949.7","TSS1500","chr20:57413305-57413515",3,"",NA,"",NA,"","","GNASAS","NR_002785","Body"
"4500","cg13555519","9",4224635,"R","GLIS3","NM_001042413","Body","","","","","","GLIS3","ENST00000490709.1","3'UTR","",NA,"",NA,"",NA,"","","GLIS3","NM_001042413","Body"
"4501","cg19771589","19",57349815,"F","PEG3","NM_001146184","5'UTR","chr19:57349997-57350470","N_Shore","PEG3","ENST00000560429.1","5'UTR","PEG3","ENST00000560264.1","3'UTR","chr19:57349365-57349995",3,"",NA,"",NA,"","","PEG3","NM_001146184","5'UTR"
"4502","cg00870007","15",27774609,"R","GABRG3","NM_033223","Body","","","RP11-100M12.3","ENST00000556642.1","3'UTR","RP11-100M12.3","ENST00000556642.1","3'UTR","",NA,"",NA,"",NA,"","","GABRG3","NM_033223","Body"
"4503","cg16153267","13",48893968,"R","RB1","NM_000321","Body","chr13:48892635-48893857","S_Shore","","","","RB1","ENST00000525036.1","5'UTR","chr13:48893645-48894090",3,"",NA,"",NA,"","","RB1","NM_000321","Body"
